ID,Tag,Name,Week,Milk Volume,KGMS,FCE,Volume Pts,Move Pts,FCE Pts,KGMS Pts,Total Pts,Resting
231,29,Graze,1,8.57,0.9,106.82,5,5,33,6,49,No
231,29,Graze,6,13.36,1.44,67.98,16,9,22,22,69,No
231,29,Graze,7,19.55,1.99,45.45,29,10,5,35,79,No
231,29,Graze,8,12.97,1.32,73.89,25,8,13,30,76,No
231,29,Graze,9,14.77,1.56,59.78,28,10,8,33,79,No
231,29,Graze,10,9.33,0.94,94.82,14,11,25,17,67,No
231,29,Graze,12,9.99,1.03,84.18,17,11,20,19,67,No
232,4,Moonaj,1,21.134999999999998,1.935,41.61,24,7,4,29,64,No
232,4,Moonaj,6,13.915,1.28,62.89,17,9,19,18,63,No
232,4,Moonaj,7,3.75,0.35,226.24,2,7,27,3,39,No
232,4,Moonaj,8,9.33,0.9,94.1,10,6,15,10,41,No
232,4,Moonaj,9,9.38,0.91,94.31,11,6,15,11,43,No
232,4,Moonaj,10,14.9,1.46,53.69,18,7,6,22,53,No
232,4,Moonaj,12,17.86,1.93,45.46,19,7,5,23,54,No
233,3,MyKnee,1,11.09,1.105,81.73,11,9,28,13,61,No
233,3,MyKnee,6,11.455,1.09,79.22,12,3,27,13,55,No
233,3,MyKnee,7,6.15,0.67,160.68,5,6,30,6,47,No
233,3,MyKnee,8,6.79,0.71,146.34,6,7,28,7,48,No
233,3,MyKnee,9,7.76,0.88,122.08,8,8,26,12,54,No
233,3,MyKnee,10,6.54,0.72,143.0,6,7,29,6,48,No
233,3,MyKnee,12,7.54,0.8,121.95,7,6,27,8,48,No
234,5,Fulltums,1,10.515,0.98,92.13,9,7,31,7,54,No
234,5,Fulltums,6,12.585,1.16,72.29,14,7,24,14,59,No
234,5,Fulltums,7,9.14,0.91,104.29,11,8,20,13,52,No
234,5,Fulltums,8,7.4,0.67,129.15,7,8,26,6,47,No
234,5,Fulltums,9,10.02,1.02,89.81,14,8,17,16,55,No
234,5,Fulltums,10,6.08,0.63,149.73,5,8,29,6,48,No
234,5,Fulltums,12,5.71,0.63,157.81,5,7,30,6,48,No
235,8,Moolone,1,10.32,0.905,93.18,9,4,31,6,50,No
235,8,Moolone,6,9.469999999999999,0.98,100.2,8,6,32,10,56,No
235,8,Moolone,7,9.47,1.04,112.48,14,4,25,18,61,No
235,8,Moolone,8,6.23,0.62,169.49,6,7,31,6,50,No
235,8,Moolone,9,9.66,0.97,98.15,15,9,21,16,61,No
235,8,Moolone,10,5.86,0.63,163.54,5,9,32,6,52,No
235,8,Moolone,12,10.48,1.07,91.44,16,7,20,17,60,No
236,9,Bush,1,13.465,1.445,55.25,16,9,11,23,59,No
236,9,Bush,6,13.89,1.385,57.97,17,9,14,21,61,No
236,9,Bush,7,9.53,1.09,93.32,14,8,17,20,59,No
236,9,Bush,8,7.88,0.8,115.37,9,9,25,10,53,No
236,9,Bush,9,0,0,0,0,0,0,0,0,YES
236,9,Bush,10,19.16,2.01,43.91,24,8,6,30,68,No
236,9,Bush,12,14.62,1.57,57.42,23,7,8,28,66,No
237,32,Trudgebull,1,12.955,1.295,54.77,15,9,11,19,54,No
237,32,Trudgebull,6,13.46,1.385,53.88,16,5,10,21,52,No
237,32,Trudgebull,7,7.88,0.95,111.18,9,9,25,15,58,No
237,32,Trudgebull,8,5.97,0.69,149.55,5,8,32,8,53,No
237,32,Trudgebull,9,11.49,1.14,74.5,20,8,12,23,63,No
237,32,Trudgebull,10,0,0,0,0,0,0,0,0,YES
237,32,Trudgebull,12,5.54,0.68,151.65,4,9,33,6,52,No
238,13,Prime,1,8.54,0.84,109.4,5,4,33,5,47,No
238,13,Prime,6,8.32,0.85,114.48,6,8,33,7,54,No
238,13,Prime,7,7.83,0.81,124.05,8,8,24,9,49,No
238,13,Prime,8,14.72,1.32,62.56,20,4,6,22,52,No
238,13,Prime,9,10.12,1.09,94.42,14,6,17,18,55,No
238,13,Prime,10,10.99,1.05,83.15,15,5,15,15,50,No
238,13,Prime,12,9.93,1.15,89.73,12,6,17,18,53,No
239,34,Schmidt,1,17,1.54,54.73,22,9,11,25,67,No
239,34,Schmidt,6,17.19,1.6800000000000002,56.49,22,7,12,27,68,No
239,34,Schmidt,7,12.26,1.34,75.73,22,7,11,29,69,No
239,34,Schmidt,8,8.19,0.91,114.57,11,10,28,16,65,No
239,34,Schmidt,9,0,0,0,0,0,0,0,0,YES
239,34,Schmidt,10,8.56,1,102.7,12,7,27,18,64,No
239,34,Schmidt,12,7.63,0.95,119.94,9,9,32,14,64,No
240,16,Cowlo,1,10.35,1.06,91.69,9,9,31,11,60,No
240,16,Cowlo,6,8.399999999999999,0.8999999999999999,115.82,6,9,33,8,56,No
240,16,Cowlo,7,6.06,0.63,175.87,5,5,32,5,47,No
240,16,Cowlo,8,8.44,0.66,125.98,11,7,27,7,52,No
